Geographic Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Jersey,8430799,8488427,8543281,8585567,8610474,8619564,8619354,8630810,8657319,8693723,8799446.0,8828117.0,8844942.0,8856972.0,8864525.0,8867949.0,8870827.0,8885525.0,8886025.0,8882190.0,9288994.0
New Mexico,1820802,1828437,1849187,1868121,1890215,1914699,1940631,1966357,1984179,2007315,2064552.0,2080450.0,2087309.0,2092273.0,2089568.0,2089291.0,2091630.0,2091784.0,2092741.0,2096829.0,2117522.0
New York,18996959,19087486,19161568,19235015,19297907,19329398,19353588,19419540,19464482,19522612,19399878.0,19499241.0,19572932.0,19624447.0,19651049.0,19654666.0,19633428.0,19589572.0,19530351.0,19453561.0,20201249.0
North Carolina,8080253,8202468,8311105,8399815,8517909,8655414,8853849,9047856,9230086,9357107,9574323.0,9657592.0,9749476.0,9843336.0,9932887.0,10031646.0,10154788.0,10268233.0,10381615.0,10488084.0,10439388.0
North Dakota,641298,636225,633210,631680,635480,634528,636019,637534,640525,645903,674715.0,685225.0,701176.0,722036.0,737401.0,754066.0,754434.0,754942.0,758080.0,762062.0,779094.0
Ohio,11363136,11395572,11420660,11450398,11465854,11475559,11490596,11518989,11526691,11531860,11539336.0,11544663.0,11548923.0,11576684.0,11602700.0,11617527.0,11634370.0,11659650.0,11676341.0,11689100.0,11799448.0
Oklahoma,3453891,3463996,3483149,3495502,3511467,3530037,3571612,3608759,3640241,3685640,3759944.0,3788379.0,3818814.0,3853214.0,3878187.0,3909500.0,3926331.0,3931316.0,3940235.0,3956971.0,3959353.0
Oregon,3430739,3469878,3516661,3551290,3573214,3617086,3675743,3730833,3780596,3823058,3837491.0,3872036.0,3899001.0,3922468.0,3963244.0,4015792.0,4089976.0,4143625.0,4181886.0,4217737.0,4237256.0
Pennsylvania,12283881,12296977,12324237,12360988,12387357,12415908,12466485,12517701,12562536,12602112,12711160.0,12745815.0,12767118.0,12776309.0,12788313.0,12784826.0,12782275.0,12787641.0,12800922.0,12801989.0,13002700.0
Rhode Island,1050607,1057707,1066919,1072453,1075835,1069226,1064193,1059706,1058368,1057451,1053959.0,1053649.0,1054621.0,1055081.0,1055936.0,1056065.0,1056770.0,1055673.0,1058287.0,1059361.0,1097379.0
South Carolina,4024082,4062301,4102227,4141080,4196549,4250989,4334146,4417059,4497746,4554258,4635649.0,4671994.0,4717354.0,4764080.0,4823617.0,4891938.0,4957968.0,5021268.0,5084156.0,5148714.0,5118425.0
South Dakota,755707,758803,761633,765980,773087,778775,786973,795521,803047,810814,816166.0,823579.0,833566.0,842316.0,849129.0,853988.0,862996.0,872868.0,878698.0,884659.0,886667.0
Tennessee,5703129,5754748,5802304,5856712,5918897,5997481,6090290,6172788,6239542,6291220,6355311.0,6399291.0,6453898.0,6494340.0,6541223.0,6591170.0,6646010.0,6708799.0,6771631.0,6829174.0,6910840.0
Texas,20944937,21330190,21705766,22048452,22408514,22790696,23356591,23824518,24290611,24770651,25241971.0,25645629.0,26084481.0,26480266.0,26964333.0,27470056.0,27914410.0,28295273.0,28628666.0,28995881.0,29145505.0
Utah,2244207,2290966,2334425,2378255,2438195,2498863,2582234,2662908,2724685,2780871,2775332.0,2814384.0,2853375.0,2897640.0,2936879.0,2981835.0,3041868.0,3101042.0,3153550.0,3205958.0,3271616.0
Vermont,609658,611889,614753,616700,618120,618797,619916,620438,620967,621436,625879.0,627049.0,626090.0,626210.0,625214.0,625216.0,623657.0,624344.0,624358.0,623989.0,643077.0
Virginia,7105425,7191579,7277452,7352164,7453994,7547753,7633859,7705466,7780691,7862480,8023699.0,8101155.0,8185080.0,8252427.0,8310993.0,8361808.0,8410106.0,8463587.0,8501286.0,8535519.0,8631393.0
Washington,5911439,5988346,6056348,6108738,6181646,6258988,6371097,6464167,6566085,6671597,6742830.0,6826627.0,6897058.0,6963985.0,7054655.0,7163657.0,7294771.0,7423362.0,7523869.0,7614893.0,7705281.0
West Virginia,1806694,1798190,1799219,1802916,1803462,1804128,1808136,1812295,1816352,1821290,1854239.0,1856301.0,1856872.0,1853914.0,1849489.0,1842050.0,1831023.0,1817004.0,1804291.0,1792147.0,1793716.0
Wisconsin,5373849,5408099,5446571,5479542,5512205,5542096,5571510,5601508,5627257,5650751,5690475.0,5705288.0,5719960.0,5736754.0,5751525.0,5760940.0,5772628.0,5790186.0,5807406.0,5822434.0,5893718.0
Wyoming,493980,492976,496930,498865,502742,506002,512664,523226,532626,544391,564487.0,567299.0,576305.0,582122.0,582531.0,585613.0,584215.0,578931.0,577601.0,578759.0,576851.0
