Geographic Area,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
New York,1007000.0,1041000.0,1113000.0,1183000.0,1381000.0,1697000.0,2070000.0,2103000.0,2195000.0,2277000.0,2195000.0,2194000.0,2519000,2662000,2474000,2402000,2784000,2947000,2831000,3001000,2858000
North Carolina,1157000.0,1092000.0,1076000.0,1038000.0,1103000.0,1276000.0,1509000.0,1582000.0,1545000.0,1570000.0,1471000.0,1391000.0,1510000,1585000,1312000,1252000,1398000,1337000,1111000,1046000,1052000
North Dakota,51000.0,54000.0,56000.0,52000.0,57000.0,57000.0,73000.0,69000.0,65000.0,65000.0,61000.0,63000.0,61000,75000,69000,63000,61000,63000,55000,66000,67000
Ohio,758000.0,744000.0,686000.0,644000.0,746000.0,955000.0,1258000.0,1304000.0,1354000.0,1399000.0,1383000.0,1282000.0,1322000,1138000,1288000,1193000,1290000,1252000,1198000,1191000,1092000
Oklahoma,553000.0,548000.0,545000.0,530000.0,533000.0,584000.0,666000.0,685000.0,694000.0,694000.0,672000.0,664000.0,631000,661000,627000,661000,686000,592000,597000,624000,513000
Oregon,299000.0,293000.0,281000.0,253000.0,280000.0,383000.0,571000.0,576000.0,602000.0,652000.0,643000.0,593000.0,632000,665000,566000,583000,590000,494000,432000,417000,455000
Pennsylvania,726000.0,699000.0,692000.0,708000.0,802000.0,1065000.0,1222000.0,1225000.0,1265000.0,1271000.0,1220000.0,1103000.0,1176000,1237000,1196000,1331000,1298000,1285000,1050000,963000,922000
Rhode Island,43000.0,42000.0,48000.0,45000.0,59000.0,77000.0,120000.0,115000.0,112000.0,126000.0,117000.0,105000.0,113000,91000,122000,109000,104000,99000,77000,74000,64000
South Carolina,548000.0,522000.0,542000.0,486000.0,523000.0,642000.0,739000.0,778000.0,766000.0,795000.0,750000.0,731000.0,721000,672000,721000,608000,555000,483000,473000,473000,564000
South Dakota,88000.0,85000.0,77000.0,74000.0,86000.0,82000.0,93000.0,94000.0,96000.0,99000.0,104000.0,87000.0,80000,91000,90000,84000,86000,81000,64000,77000,72000
Tennessee,682000.0,675000.0,629000.0,592000.0,667000.0,776000.0,887000.0,882000.0,923000.0,899000.0,883000.0,790000.0,883000,809000,798000,766000,748000,590000,598000,585000,529000
Texas,5234000.0,5003000.0,4817000.0,4545000.0,4615000.0,5047000.0,5748000.0,5762000.0,5790000.0,5875000.0,5783000.0,5564000.0,5962000,5704000,5394000,5405000,5249000,5476000,4896000,4650000,4463000
Utah,307000.0,295000.0,282000.0,265000.0,311000.0,366000.0,402000.0,409000.0,426000.0,422000.0,401000.0,405000.0,340000,442000,414000,318000,290000,294000,322000,259000,284000
Vermont,28000.0,25000.0,28000.0,23000.0,24000.0,31000.0,45000.0,40000.0,41000.0,50000.0,53000.0,54000.0,69000,63000,72000,65000,56000,64000,55000,50000,62000
Virginia,658000.0,731000.0,729000.0,715000.0,746000.0,884000.0,991000.0,1000000.0,983000.0,1020000.0,908000.0,871000.0,1135000,1006000,951000,986000,922000,902000,704000,747000,828000
Washington,496000.0,477000.0,446000.0,428000.0,468000.0,643000.0,960000.0,945000.0,953000.0,946000.0,878000.0,807000.0,737000,746000,828000,759000,934000,837000,771000,772000,757000
West Virginia,118000.0,114000.0,109000.0,96000.0,108000.0,156000.0,255000.0,264000.0,272000.0,266000.0,254000.0,265000.0,254000,245000,304000,289000,292000,251000,226000,247000,263000
Wisconsin,329000.0,313000.0,309000.0,300000.0,323000.0,418000.0,518000.0,506000.0,507000.0,529000.0,521000.0,489000.0,451000,481000,509000,551000,569000,517000,392000,398000,518000
Wyoming,70000.0,59000.0,70000.0,67000.0,66000.0,69000.0,77000.0,87000.0,86000.0,83000.0,81000.0,72000.0,70000,75000,75000,64000,74000,82000,73000,74000,70000
