Geographic Area,Year,Private Insured
Maryland,2015,4381000
Massachusetts,2015,4933000
Michigan,2015,6967000
Minnesota,2015,4149000
Mississippi,2015,1718000
Missouri,2015,4241000
Montana,2015,709000
Nebraska,2015,1426000
Nevada,2015,1843000
New Hampshire,2015,1017000
New Jersey,2015,6307000
New Mexico,2015,1120000
New York,2015,12886000
North Carolina,2015,6581000
North Dakota,2015,597000
Ohio,2015,7970000
Oklahoma,2015,2477000
Oregon,2015,2673000
Pennsylvania,2015,9262000
Rhode Island,2015,734000
South Carolina,2015,3167000
South Dakota,2015,611000
Tennessee,2015,4278000
Texas,2015,16808000
Utah,2015,2295000
Vermont,2015,424000
Virginia,2015,6208000
Washington,2015,5026000
West Virginia,2015,1151000
Wisconsin,2015,4276000
Wyoming,2015,427000
United States,2014,208333000
Alabama,2014,3132000
Alaska,2014,467000
Arizona,2014,4050000
Arkansas,2014,1761000
California,2014,23665000
Colorado,2014,3672000
Connecticut,2014,2522000
Delaware,2014,655000
District of Columbia,2014,440000
Florida,2014,11562000
Georgia,2014,6262000
Hawaii,2014,1031000
Idaho,2014,1103000
Illinois,2014,8669000
Indiana,2014,4481000
Iowa,2014,2316000
Kansas,2014,2094000
Kentucky,2014,2826000
Louisiana,2014,2738000
Maine,2014,876000
Maryland,2014,4332000
Massachusetts,2014,4902000
Michigan,2014,6912000
Minnesota,2014,4133000
Mississippi,2014,1710000
Missouri,2014,4117000
Montana,2014,674000
Nebraska,2014,1391000
Nevada,2014,1803000
New Hampshire,2014,999000
New Jersey,2014,6258000
New Mexico,2014,1113000
New York,2014,12772000
North Carolina,2014,6392000
North Dakota,2014,580000
Ohio,2014,7881000
Oklahoma,2014,2410000
Oregon,2014,2563000
Pennsylvania,2014,9206000
Rhode Island,2014,715000
South Carolina,2014,3005000
South Dakota,2014,616000
Tennessee,2014,4180000
Texas,2014,16050000
Utah,2014,2194000
Vermont,2014,419000
Virginia,2014,6065000
Washington,2014,4887000
West Virginia,2014,1146000
Wisconsin,2014,4165000
Wyoming,2014,422000
United States,2013,202391000
Alabama,2013,3080000
Alaska,2013,464000
Arizona,2013,3904000
Arkansas,2013,1689000
California,2013,22694000
Colorado,2013,3567000
Connecticut,2013,2504000
Delaware,2013,637000
District of Columbia,2013,438000
Florida,2013,10935000
Georgia,2013,6029000
Hawaii,2013,1017000
Idaho,2013,1059000
Illinois,2013,8485000
Indiana,2013,4374000
Iowa,2013,2278000
Kansas,2013,2049000
Kentucky,2013,2769000
Louisiana,2013,2673000
Maine,2013,853000
Maryland,2013,4292000
Massachusetts,2013,4926000
Michigan,2013,6760000
Minnesota,2013,4081000
Mississippi,2013,1637000
Missouri,2013,4056000
Montana,2013,650000
Nebraska,2013,1356000
Nevada,2013,1717000
New Hampshire,2013,979000
New Jersey,2013,6156000
New Mexico,2013,1097000
New York,2013,12619000
North Carolina,2013,6104000
North Dakota,2013,560000
Ohio,2013,7814000
Oklahoma,2013,2300000
Oregon,2013,2558000
Pennsylvania,2013,9075000
Rhode Island,2013,714000
